#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
123.24 24.86 12.0 -5.26 6.75 -1.5 3.45 0.791 2.23 23 123.24 24.86 C202006151347A N
201.06 -62.54 12.0 -0.352 3.55 -3.2 -0.368 0.846 1.47 23 201.06 -62.54 C202006151422A SS
123.05 24.86 12.0 -2.18 1.93 0.249 1.33 1.08 -0.117 23 123.05 24.86 C202006151547A N
177.81 -37.94 49.7 1.99 0.393 -2.38 0.129 2.71 -1.88 23 177.81 -37.94 C202006151729A R-SS
122.16 -2.68 12.0 -0.33 1.53 -1.2 1.37 2.37 1.03 23 122.16 -2.68 C202006152336A N
72.11 37.77 139.6 1.03 -0.495 -0.536 -3.74 -2.15 -1 24 72.11 37.77 C202006160130A R
252.92 -6.18 15.4 0.065 0.376 -0.441 1.44 -0.514 3.44 23 252.92 -6.18 C202006160533A SS-N
102.56 22.42 20.6 0.297 -0.832 0.535 -0.774 0.163 -1.29 23 102.56 22.42 C202006160612A SS-R
167.64 -17.31 13.3 3.24 0.324 -3.56 0.987 -1.23 0.824 23 167.64 -17.31 C202006160830A R
70.9 36.56 225.7 1.87 -1.45 -0.418 1.76 1.69 -0.301 23 70.9 36.56 C202006160921A R
123.36 24.86 21.0 -1.86 1.76 0.097 0.276 -0.433 -0.151 23 123.36 24.86 C202006161334A N
71.66 -26.37 12.0 -2.1 0.979 1.12 -0.004 0.316 -0.736 23 71.66 -26.37 C202006161419A N
34.64 27.13 12.0 -0.207 -1.1 1.3 0.106 -0.004 -0.334 24 34.64 27.13 C202006161430A SS
335.81 -57.48 38.1 2.92 -3.55 0.632 -1.85 0.98 -0.366 23 335.81 -57.48 C202006170305A R-SS
185.12 -16.12 293.0 -3.63 1.94 1.68 0.549 -2.07 -1.5 24 185.12 -16.12 B202006170624A N
330.77 40.87 14.1 -1.35 0.277 1.07 0.76 -0.075 0.248 23 330.77 40.87 C202006171229A N
233.71 41.86 24.0 -0.273 -1.56 1.83 -0.052 0.169 0.001 23 233.71 41.86 C202006172108A SS
161.4 53.74 55.8 1.76 -0.849 -0.911 0.574 0.748 -1.08 23 161.4 53.74 C202006172215A R
186.59 -21.02 13.8 3.27 -0.743 -2.53 1.57 1.04 -0.757 23 186.59 -21.02 C202006181143A R
182.45 -33.39 37.1 -0.358 -0.986 1.34 -0.668 -0.29 -0.676 27 182.45 -33.39 C202006181249A SS-N
123.31 24.85 12.5 -6.11 7.12 -1 1.77 0.443 -1.73 23 123.31 24.85 C202006190026A N
181.63 -33.66 12.0 1.49 0.099 -1.58 0.25 1.25 -0.469 24 181.63 -33.66 C202006190038A R
