#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
137.58 36.4 13.3 0.178 0.305 -0.483 -0.194 -0.546 -1.42 23 137.58 36.4 C202005190523A SS
232.51 40.85 14.4 -2.56 0.35 2.21 -0.014 -0.617 -0.047 23 232.51 40.85 C202005190710A N
282.44 5.84 16.6 2.09 -0.184 -1.9 0.294 -3.96 -0.318 23 282.44 5.84 C202005190719A R
137.7 36.33 12.0 -0.15 -0.516 0.666 0.283 -0.346 -1.49 23 137.7 36.33 C202005190755A SS
129.35 27.94 15.8 0.729 0.29 -1.02 2.37 3.68 0.312 23 129.35 27.94 C202005190945A R
232.61 -55.11 12.0 -1.58 5.42 -3.84 0.86 2.57 6.14 23 232.61 -55.11 C202005191138A SS
25.58 34.15 18.8 0.449 -1.89 1.44 0.419 -0.167 0.871 23 25.58 34.15 C202005191909A SS
25.86 34.37 14.8 0.859 -1.62 0.759 0.48 0.407 -2.23 23 25.86 34.37 C202005200212A SS
273.16 11.45 31.7 2.79 -1.84 -0.946 1.14 -1.29 1.37 23 273.16 11.45 C202005200330A R
293.12 -26.15 18.3 -0.919 3.52 -2.6 1.19 -0.198 0.177 23 293.12 -26.15 C202005201042A SS
242.28 38.24 15.5 -1.11 0.435 0.671 0.857 -0.808 2.45 23 242.28 38.24 C202005201236A SS-N
126.18 5.15 85.8 2.53 0.759 -3.29 -0.81 3.81 -2.31 23 126.18 5.15 C202005201245A R-SS
186.54 -16.02 74.2 2.15 0.298 -2.45 -0.449 -5.35 -3.01 23 186.54 -16.02 C202005201346A R
203.27 54.54 15.2 1.33 -0.961 -0.364 2.09 0.286 -0.658 23 203.27 54.54 C202005201713A R
25.55 34.06 28.7 -0.083 -1.19 1.27 0.254 -0.617 1.27 23 25.55 34.06 C202005201800A SS
167.87 -16.3 182.6 2.05 2.93 -4.98 -5.07 -5.28 1.24 23 167.87 -16.3 C202005202031A R
20.24 34.99 17.2 0.179 -1.21 1.04 0.45 -1.75 -3.68 24 20.24 34.99 C202005202343A SS-R
265.18 15.63 26.2 -0.354 -1.82 2.18 -0.183 -0.216 -1.95 23 265.18 15.63 C202005210428A SS
24.01 -9.36 41.7 -1.85 2.94 -1.09 1.45 -0.081 0.518 23 24.01 -9.36 C202005211257A N
151.76 -6.6 32.5 3.16 -2.63 -0.533 -0.076 0.593 -1.03 23 151.76 -6.6 C202005211523A R
142.84 -2.74 16.9 -2.63 -1.4 4.03 0.976 1.79 1.91 23 142.84 -2.74 C202005211918A N
242.23 38.23 12.0 0.103 -1.05 0.943 -0.198 0.247 1.61 23 242.23 38.23 C202005220022A SS
25.81 34.36 12.2 1.78 -2.74 0.958 0.516 -0.109 -2.05 23 25.81 34.36 C202005220340A SS-R
252.09 22.54 15.0 -0.26 -0.874 1.13 0.092 -0.148 -1.89 25 252.09 22.54 C202005220846A SS
85.65 32.8 21.8 -0.248 -2.34 2.59 0.625 -0.12 1.81 23 85.65 32.8 C202005221345A SS
291.18 -23.16 96.2 -1.25 -1.88 3.13 0.779 -1.28 1.88 23 291.18 -23.16 C202005221459A SS-N
85.64 32.8 23.4 -1.02 -3.05 4.07 1.38 0.216 2.12 23 85.64 32.8 C202005221838A SS-N
154.35 -6.49 31.5 3.86 -2.18 -1.68 1.44 -1.35 1.65 23 154.35 -6.49 C202005221906A R
128.46 27.25 47.4 3.64 -1.52 -2.12 1.18 1.2 -1.82 23 128.46 27.25 C202005221933A R
129.12 -7.22 144.5 0.547 -1.75 1.21 0.361 0.983 0.008 24 129.12 -7.22 C202005230013A SS-R
121.7 15.58 35.2 3.57 0.159 -3.73 2.3 3.67 -1.22 23 121.7 15.58 C202005230210A R
230.2 50.13 14.5 -1.06 -7.54 8.6 -0.07 -1.04 -0.7 23 230.2 50.13 C202005230214A SS
187.36 -15.46 20.6 2.8 0.393 -3.19 1.46 1.47 -0.266 23 187.36 -15.46 C202005230623A R-SS
