#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
126.86 8.35 42.1 1.54 0.23 -1.77 0.99 0.61 -0.17 26 126.86 8.35 C110776B R-SS
142.23 38.03 32.4 1.56 -0.04 -1.51 1.17 1.88 -0.62 25 142.23 38.03 C110876A R
117.71 39.45 15.0 -0.74 3.88 -3.14 -1.72 -1.61 -0.63 25 117.71 39.45 C111576A SS-N
79.88 -41.32 15.4 -0.05 2.23 -2.18 -0.3 0.02 -0.61 25 79.88 -41.32 C111676A SS
157.07 -8.75 15.0 0.46 -2.86 2.41 0.76 -1.04 4.36 25 157.07 -8.75 C111876A SS
134.93 -4.17 15.0 0.79 -1.48 0.69 2.24 -5.63 1.87 25 134.93 -4.17 C111876B R
123.58 7.03 60.0 2.03 4.26 -6.29 1.78 2.02 0.22 23 123.58 7.03 B112276A SS-R
78.12 -38.4 15.0 -2.23 -5 7.24 0 0 -1.33 24 78.12 -38.4 C112276B SS
43.96 38.88 15.0 0.25 -2.85 2.61 0.6 -0.93 -2.93 26 43.96 38.88 C112476A SS
182.39 -19.46 452.8 -4.43 -0.99 5.43 -3.34 -2.25 -1.65 25 182.39 -19.46 C112576A N-SS
233.78 41.46 15.0 0.06 -1.31 1.25 0.02 0.16 0.42 26 233.78 41.46 C112676A SS
70.64 36.33 196.2 5.57 -7.64 2.08 2.71 4.37 -0.69 24 70.64 36.33 C112776A R-SS
291.49 -20.54 133.7 -1.79 -0.35 2.14 0.55 -1.42 -0.44 27 291.49 -20.54 M113076A N
130.64 28.12 15.0 -4.16 2.94 1.23 -2.49 0.33 1.35 25 130.64 28.12 C121476A N
230.23 48.93 15.0 -0.06 -1.12 1.18 -0.02 0 -0.35 26 230.23 48.93 C122076A SS
136.8 30.62 476.5 -0.324 0.799 -0.475 1.014 -0.356 0.401 24 136.8 30.62 B010177C N-SS
108.82 -8.19 102.8 -3.718 5.545 -1.827 5.825 -1.705 0.293 24 108.82 -8.19 B010177A N
126.15 -2.88 43.3 0.79 -0.268 -0.521 0.065 0.384 3.796 25 126.15 -2.88 B010177D SS
90.67 38.22 10.0 1.112 -0.915 -0.197 0.736 0.206 0.635 25 90.67 38.22 B010177B R-SS
217.07 -56.15 10.0 -0.164 3.401 -3.237 -0.471 -0.02 2.293 24 217.07 -56.15 B010177E SS
118.86 -10.41 24.5 2.478 -2.463 -0.015 1.814 0.056 -0.009 25 118.86 -10.41 C010277A R
56.73 27.25 29.0 3.26 -2.876 -0.384 2.508 -0.487 -3.393 23 56.73 27.25 B010577A R-SS
181.41 -20.74 561.8 -2.167 2.865 -0.698 -2.796 -1.65 0.119 24 181.41 -20.74 B010577B N
144.79 -2.99 11.3 -0.412 0.084 0.328 0.398 -1.239 1.058 26 144.79 -2.99 C010677A N-SS
184.3 51.68 29.6 3.833 -3.193 -0.64 4.163 0.808 -2.101 24 184.3 51.68 B010677B R
28.39 -2.31 13.9 -4.732 3.726 1.006 0 0 2.222 23 28.39 -2.31 B010677C N
346.8 -30.97 10.0 -1.371 -0.522 1.893 -0.413 0.155 -0.132 24 346.8 -30.97 B010777A N
120.01 20.78 10.0 -3.009 -0.044 3.054 1.185 -2.128 -0.023 24 120.01 20.78 B010777B N
122.73 15.77 13.3 6.364 2.443 -8.807 1.626 -1.176 2.219 23 122.73 15.77 B010877A R
165.78 -11.7 40.8 1.207 -0.338 -0.869 0.09 -0.095 0.32 25 165.78 -11.7 B010877B R
150.88 -6.3 35.9 3.312 -4.196 0.884 1.175 -0.17 -0.913 24 150.88 -6.3 B010877C R
180.3 -20.75 666.2 -0.23 0.8903 -0.6603 0.1101 -0.9929 -0.5801 24 180.3 -20.75 B011077A SS-N
287.9 -31.92 42.2 7.116 1.044 -8.16 2.177 -3.401 1.407 23 287.9 -31.92 B011177A R
99.5 1.08 186.0 6.531 -6.761 0.23 0.043 -4.192 -3.793 24 99.5 1.08 B011277A R-SS
182.18 -19.72 358.2 -0.324 -1.07 1.394 -1.736 0.622 0.023 24 182.18 -19.72 B011477A N-SS
126.06 12.8 32.9 -1.842 1.248 0.594 -0.737 0.57 -1.652 24 126.06 12.8 B011577A N
142.74 26.4 13.9 4.813 0.539 -5.352 0.757 4.521 0.467 24 142.74 26.4 B011777A R
182.64 -14.9 10.0 4.535 -7.532 2.997 1.917 0.458 5.996 24 182.64 -14.9 B011777B SS-R
291.39 -24.89 134.4 1.978 0.443 -2.422 0.327 0.133 -0.821 26 291.39 -24.89 C011777C R
174.29 -41.76 26.4 -0.8155 0.514 0.3014 0.6272 0.9275 0.817 25 174.29 -41.76 B011877A N
94.81 37.08 10.0 5.706 -4.631 -1.075 1.765 -2.551 4.093 24 94.81 37.08 B011977A R
126.56 5.01 50.1 1.646 -0.866 -0.781 -0.99 0.267 1.834 25 126.56 5.01 B011977B R-SS
122.7 8 41.8 0.044 1.453 -1.496 0.517 0.947 1.691 24 122.7 8.0 B012077A SS-R
181.6 -18.3 607.0 -0.7842 0.1732 0.611 0.3389 -0.9819 -0.2847 25 181.6 -18.3 B012177A N
166.33 -13.84 28.1 8.223 -0.467 -7.756 0.121 -1.764 1.302 24 166.33 -13.84 B012377A R
134.45 -1.83 10.0 -1.237 -2.211 3.448 1.303 0.526 2.983 24 134.45 -1.83 B012577B SS-N
167.91 -16.17 260.8 1.19 -1.135 -0.056 -0.327 -2.146 1.023 24 167.91 -16.17 B012577A R-SS
164.4 -11.06 37.1 -0.406 -4.323 4.729 -0.642 2.212 4.388 24 164.4 -11.06 B012577C SS
152.81 -7 18.2 -5.091 4.773 0.318 1.764 -0.828 0.592 24 152.81 -7.0 B012777A N
151.57 -6.18 41.7 3.231 -4.067 0.837 0.106 -0.262 -0.984 24 151.57 -6.18 B012977A R
56.31 -33.65 10.0 -1.475 1.863 -0.389 0.184 0.225 0.42 24 56.31 -33.65 B012977B N
69.79 39.85 10.0 1.122 -1.007 -0.115 0.427 -0.03 0.381 25 69.79 39.85 B013177A R
150.79 45.03 34.5 4.733 -1.197 -3.536 1.317 1.993 -1.984 23 150.79 45.03 B020377A R
130.49 42.59 504.7 0.873 5.023 -5.896 2.772 -3.293 -1.86 23 130.49 42.59 B020377B SS-R
297.09 -25.05 565.1 -0.18 -0.002 0.182 -0.563 1.04 0.113 26 297.09 -25.05 B020477A N
277.35 -66.56 10.0 2.949 0.143 -3.092 -0.212 -0.653 -0.61 25 277.35 -66.56 C020577A R
185.38 -22.34 46.3 6.048 0.3 -6.348 -1.995 -1.853 1.797 24 185.38 -22.34 B020677A R
169.4 -22.26 10.0 4.479 -1.582 -2.897 1.488 -1.228 3.998 24 169.4 -22.26 B021077A R
336.46 -62.01 10.0 -1.43 1.525 -0.095 1.013 0.601 0.577 25 336.46 -62.01 B021077B N
71.28 36.99 118.0 4.345 -5.126 0.781 2.719 -2.435 1.868 23 71.28 36.99 B021277A R
125.08 -0.05 50.2 5.149 0.238 -5.387 4.621 5.554 -1.546 24 125.08 -0.05 B021377A R
125.97 0.44 29.4 1.168 -0.635 -0.533 0.163 -0.812 -0.365 25 125.97 0.44 B021677A R-SS
142.39 41.27 60.3 0.8478 0.0303 -0.8781 0.3041 0.5763 -0.2301 25 142.39 41.27 B021877A R
140.96 32.69 52.7 1.003 1.06 -2.063 -0.754 -0.234 -0.044 25 140.96 32.69 B021877B SS-R
78.13 31.28 10.0 -3.928 -0.665 4.593 1.327 1.565 0.289 23 78.13 31.28 B021977B N
80.61 -41.29 10.0 -0.037 1.163 -1.126 0.035 -0.185 -0.303 25 80.61 -41.29 B021977C SS
170.11 53.15 27.3 0.166 -0.444 0.278 1.342 1.045 0.148 26 170.11 53.15 C021977A R
283.65 -45.97 10.0 -0.073 0.661 -0.588 0.302 0.534 -1.642 24 283.65 -45.97 B022277A SS
346.51 -11.77 10.0 0.639 -3.092 2.453 0.276 1.766 3.719 24 346.51 -11.77 B022477A SS
142.31 42.27 73.0 -0.622 0.585 0.038 -0.08 -0.879 2.72 24 142.31 42.27 B022477B SS
147.48 -6.15 49.0 4.066 -3.947 -0.119 2.047 -0.205 1.458 24 147.48 -6.15 B022577A R
147.53 -6.29 63.7 1.516 -1.956 0.44 0.467 -0.189 0.731 25 147.53 -6.29 B022577B R
145.3 18.21 592.6 -1.502 -0.378 1.88 -0.671 -0.473 -0.742 24 145.3 18.21 B022777A N-SS
